track_name,album_name,artist_name,ms_played
Stepped On,TIMELESS,KAYTRANADA,181105
Hamptons,Submarine,The Marías,188400
Apocalypse,Cigarettes After Sex,Cigarettes After Sex,2270
Grillz,Sweatsuit,Nelly,172600
HISS,MEGAN,Megan Thee Stallion,192818
Rattle,MEGAN,Megan Thee Stallion,205416
Figueroa,MEGAN,Megan Thee Stallion,143783
Where Them Girls At,MEGAN,Megan Thee Stallion,191711
Broke His Heart,MEGAN,Megan Thee Stallion,159156
B.A.S. (feat. Kyle Richh),MEGAN,Megan Thee Stallion,206461
Otaku Hot Girl,MEGAN,Megan Thee Stallion,158663
Find Out,MEGAN,Megan Thee Stallion,155767
BOA,MEGAN,Megan Thee Stallion,154732
Mamushi (feat. Yuki Chiba),MEGAN,Megan Thee Stallion,156988
Accent (feat. GloRilla),MEGAN,Megan Thee Stallion,199741
Paper Together (feat. UGK),MEGAN,Megan Thee Stallion,215802
Spin (feat. Victoria Monét),MEGAN,Megan Thee Stallion,187794
Down Stairs DJ,MEGAN,Megan Thee Stallion,164000
Miami Blue (feat. Big K.R.I.T. & Buddah Bless),MEGAN,Megan Thee Stallion,157500
Worthy,MEGAN,Megan Thee Stallion,139371
Moody Girl,MEGAN,Megan Thee Stallion,167529
Cobra,MEGAN,Megan Thee Stallion,168932
Where Them Girls At,MEGAN,Megan Thee Stallion,191711
Spin (feat. Victoria Monét),MEGAN,Megan Thee Stallion,187794
Paper Together (feat. UGK),MEGAN,Megan Thee Stallion,215802
Spin (feat. Victoria Monét),MEGAN,Megan Thee Stallion,187794
Accent (feat. GloRilla),MEGAN,Megan Thee Stallion,199741
8,CRASH,Kehlani,150262
Getting No Sleep,Getting No Sleep,Tinashe,192000
Snap My Finger (feat. PinkPantheress),TIMELESS,KAYTRANADA,201371
Where Them Girls At,MEGAN,Megan Thee Stallion,191711
Dream Girl,Dream Girl,Ravyn Lenae,2410
Spin (feat. Victoria Monét),MEGAN,Megan Thee Stallion,187794
Where Them Girls At,MEGAN,Megan Thee Stallion,191711
Figueroa,MEGAN,Megan Thee Stallion,143783
Broke His Heart,MEGAN,Megan Thee Stallion,22836
