track_name,album_name,artist_name,ms_played,date_listened,platform
Freak Nasty,Tina Snow,Megan Thee Stallion,173798,2024-06-30,ios
Bottoms Up (feat. Nicki Minaj),"Passion, Pain & Pleasure",Trey Songz,242013,2024-06-30,ios
ReYup (feat. Spodee),3 Live Krew,Travis Porter,135627,2024-06-30,ios
Back That Azz Up,400 Degreez,JUVENILE,265600,2024-06-30,ios
Wanna Be (with Megan Thee Stallion),Ehhthang Ehhthang,GloRilla,156444,2024-06-30,ios
Where Them Girls At,MEGAN,Megan Thee Stallion,154554,2024-07-01,ios
Where Them Girls At,MEGAN,Megan Thee Stallion,191711,2024-07-01,ios
Freaky Girls (feat. SZA),Good News,Megan Thee Stallion,166906,2024-07-01,ios
Spin (feat. Victoria Monét),MEGAN,Megan Thee Stallion,187794,2024-07-01,ios
Paper Together (feat. UGK),MEGAN,Megan Thee Stallion,215802,2024-07-01,ios
Captain Hook,Suga,Megan Thee Stallion,176749,2024-07-01,ios
Big Ole Freak,Tina Snow,Megan Thee Stallion,137084,2024-07-01,ios
Mamushi (feat. Yuki Chiba),MEGAN,Megan Thee Stallion,156988,2024-07-01,ios
B.A.S. (feat. Kyle Richh),MEGAN,Megan Thee Stallion,206461,2024-07-01,ios
Moody Girl,MEGAN,Megan Thee Stallion,167529,2024-07-01,ios
8,CRASH,Kehlani,150262,2024-07-01,ios
Losing You,Losing You,Solange,260399,2024-07-01,ios
Real Life,Submarine,The Marías,206972,2024-07-01,ios
Spin (feat. Victoria Monét),MEGAN,Megan Thee Stallion,187794,2024-07-03,windows
Sound of Rain,When I Get Home,Solange,185960,2024-07-03,windows
Get Lit (feat. Fat Tony),LIVE.LOVE.A$AP,A$AP Rocky,178706,2024-07-03,windows
Love/Paranoia,Currents,Tame Impala,185773,2024-07-03,windows
Zombies,"""Awaken, My Love!""",Childish Gambino,281813,2024-07-03,windows
//aguardiente y limón %ᵕ‿‿ᵕ%,Sin Miedo (del Amor y Otros Demonios) ∞,Kali Uchis,161539,2024-07-03,windows
New Flame (feat. Usher & Rick Ross),X (Expanded Edition),Chris Brown,244226,2024-07-03,windows
THANK GOD,UTOPIA,Travis Scott,184888,2024-07-03,windows
WASTING TIME (FEAT. DRAKE & THE NEPTUNES),WASTELAND,Brent Faiyaz,250040,2024-07-03,windows
Let Me Explain,Let Me Explain,Bryson Tiller,223969,2024-07-03,windows
Hit Different,Hit Different,SZA,202007,2024-07-03,windows
Guess,Candydrip,Lucky Daye,193173,2024-07-03,windows
RIP Young,The House Is Burning,Isaiah Rashad,158050,2024-07-03,windows
Coming Down,House Of Balloons,The Weeknd,295435,2024-07-03,windows
Make a Mil,PARTYNEXTDOOR,PARTYNEXTDOOR,171366,2024-07-03,windows
RoboCop,808s & Heartbreak,Kanye West,274360,2024-07-03,windows
Smoke (feat. Lucky Daye),Smoke (feat. Lucky Daye),Victoria Monét,186157,2024-07-03,windows
Bus In These Streets,Drunk,Thundercat,144196,2024-07-03,windows
Somthing's Missing,Ego Death,The Internet,379973,2024-07-03,windows
Crew (feat. Brent Faiyaz & Shy Glizzy),At What Cost,GoldLink,176702,2024-07-03,windows
Reachin' 2 Much (feat. Lalah Hathaway),Ventura,Anderson .Paak,355492,2024-07-03,windows
Shutcho,Scarlet,Doja Cat,187400,2024-07-03,windows
Still into You,Paramore,Paramore,216013,2024-07-03,windows
Good At,Tina Snow,Megan Thee Stallion,230646,2024-07-03,windows
SWEET ★ HONEY ★ BUCKIIN',COWBOY CARTER,Beyoncé,296185,2024-07-03,windows
Wanna Be (with Megan Thee Stallion),Ehhthang Ehhthang,GloRilla,156444,2024-07-03,windows
Video (feat. Ravyn Lenae),TIMELESS,KAYTRANADA,192017,2024-07-03,windows
Wavy (Interlude) (feat. James Fauntleroy),Ctrl,SZA,75800,2024-07-03,windows
Love Galore (feat. Travis Scott),Ctrl,SZA,275080,2024-07-03,windows
No Love (with SZA),Still Over It,Summer Walker,231497,2024-07-03,windows
Can You Blame Me (feat. Lucky Daye),It Was Good Until It Wasn't,Kehlani,183019,2024-07-03,windows
Losing You,Losing You,Solange,260399,2024-07-03,windows
DESERT EAGLE,COWBOY CARTER,Beyoncé,72448,2024-07-03,windows
Almeda,When I Get Home,Solange,236120,2024-07-03,windows
Don't You Wait,A Seat at the Table,Solange,245906,2024-07-03,windows
Xtasy (Remix) [feat. Doechii],Xtasy (Remix) [feat. Doechii],Ravyn Lenae,270497,2024-07-03,windows
Snap My Finger (feat. PinkPantheress),TIMELESS,KAYTRANADA,201371,2024-07-03,windows
Canned Heat,Synkronized,Jamiroquai,331760,2024-07-03,windows
Girl (feat. KAYTRANADA),Ego Death,The Internet,415613,2024-07-03,ios
YOU'RE THE ONE,99.9%,KAYTRANADA,227706,2024-07-03,ios
Hold On,Hive Mind,The Internet,406466,2024-07-03,ios
Somthing's Missing,Ego Death,The Internet,120848,2024-07-04,ios
Fell In Luv (feat. Bryson Tiller),Die Lit,Playboi Carti,206333,2024-07-04,ios
lose,Birds In The Trap Sing McKnight,Travis Scott,200451,2024-07-04,ios
I KNOW ?,UTOPIA,Travis Scott,211582,2024-07-04,ios
Freak Hoe,DS2 - Deluxe,Future,174733,2024-07-04,ios
Electric Body (feat. ScHoolboy Q),AT.LONG.LAST.A$AP,A$AP Rocky,255253,2024-07-04,ios
durag activity (with Travis Scott),The Melodic Blue,Baby Keem,224456,2024-07-04,ios
Dragonball Durag,It Is What It Is,Thundercat,181922,2024-07-04,ios
WHITE CROCS (with Ryan Trey),FORWARD,Jordan Ward,147773,2024-07-04,ios
Captain Hook,Suga,Megan Thee Stallion,176749,2024-07-04,ios
Big Ole Freak,Tina Snow,Megan Thee Stallion,214850,2024-07-04,ios
Rake It Up (feat. Nicki Minaj),I Still Am,Yo Gotti,276333,2024-07-04,ios
Good At,Tina Snow,Megan Thee Stallion,230646,2024-07-04,ios
ReYup (feat. Spodee),3 Live Krew,Travis Porter,135627,2024-07-04,ios
Back That Azz Up,400 Degreez,JUVENILE,265600,2024-07-04,ios
Spin (feat. Victoria Monét),MEGAN,Megan Thee Stallion,187794,2024-07-04,ios
Losing You,Losing You,Solange,260399,2024-07-04,ios
Sound of Rain,When I Get Home,Solange,185959,2024-07-04,ios
Stay Flo,When I Get Home,Solange,175706,2024-07-04,ios
Binz,When I Get Home,Solange,111226,2024-07-04,ios
8,CRASH,Kehlani,150262,2024-07-04,ios
Paranoid,808s & Heartbreak,Kanye West,277906,2024-07-04,ios
Paranoid,808s & Heartbreak,Kanye West,254016,2024-07-07,ios
Spin (feat. Victoria Monét),MEGAN,Megan Thee Stallion,187794,2024-07-07,ios
Wanna Be (with Megan Thee Stallion),Ehhthang Ehhthang,GloRilla,156444,2024-07-07,ios
Where Them Girls At,MEGAN,Megan Thee Stallion,191711,2024-07-07,ios
Paper Together (feat. UGK),MEGAN,Megan Thee Stallion,215802,2024-07-07,ios
Good At,Tina Snow,Megan Thee Stallion,230646,2024-07-07,ios
Snap My Finger (feat. PinkPantheress),TIMELESS,KAYTRANADA,201371,2024-07-07,ios
Losing You,Losing You,Solange,260399,2024-07-07,ios
Big Ole Freak,Tina Snow,Megan Thee Stallion,214850,2024-07-07,ios
